hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 8125.01, -31.0025, 8125.01, -151.003, 8125.01, 88.9975, 134.132, 123.663, 134.132, 3.66347, 134.132, -116.337
2, 0.00000, 8125, -31.0026, 8125, -151.003, 8125, 88.9974, 134.145, 123.663, 134.145, 3.66329, 134.145, -116.337
3, 0.00000, 8125, -31.0026, 8125, -151.003, 8125, 88.9974, 134.145, 123.663, 134.145, 3.66329, 134.145, -116.337
4, 0.00000, 8125, -31.0026, 8125, -151.003, 8125, 88.9974, 134.145, 123.663, 134.145, 3.66329, 134.145, -116.337
5, 0.00000, 8125, -31.0026, 8125, -151.003, 8125, 88.9974, 134.145, 123.663, 134.145, 3.66329, 134.145, -116.337
6, 0.00000, 8125, -31.0026, 8125, -151.003, 8125, 88.9974, 134.145, 123.663, 134.145, 3.66329, 134.145, -116.337
7, 0.00000, 8124.38, -31.0102, 8124.38, -151.01, 8124.38, 88.9898, 135.173, 123.648, 135.173, 3.64758, 135.173, -116.352
8, 0.00000, 8137.65, -29.5326, 8137.65, -149.533, 8137.65, 90.4674, 77.1995, 16.181, 77.1995, -103.819, 77.1995, 136.181
9, 0.00000, 8135.99, -28.8491, 8135.99, -148.849, 8135.99, 91.1509, 147.459, -5.26021, 147.459, -125.26, 147.459, 114.74
10, 0.00000, 8132.15, -28.3937, 8132.15, -148.394, 8132.15, 91.6063, 199.459, -9.91129, 199.459, -129.911, 199.459, 110.089
11, 0.00000, 8128.76, -28.1138, 8128.76, -148.114, 8128.76, 91.8862, 232.077, -11.4685, 232.077, -131.469, 232.077, 108.531
12, 0.00000, 8127.97, -28.0612, 8127.97, -148.061, 8127.97, 91.9388, 238.249, -11.6813, 238.249, -131.681, 238.249, 108.319
13, 0.00000, 8126.74, -28.2356, 8126.74, -148.236, 8126.74, 91.7644, 218.624, -10.1177, 218.624, -130.118, 218.624, 109.882
14, 0.00000, 8124.94, -28.0959, 8124.94, -148.096, 8124.94, 91.9041, 234.91, -10.8444, 234.91, -130.844, 234.91, 109.156
15, 0.00000, 8126.87, -28.2462, 8126.87, -148.246, 8126.87, 91.7538, 217.398, -10.0572, 217.398, -130.057, 217.398, 109.943
16, 0.00000, 8125.04, -28.1029, 8125.04, -148.103, 8125.04, 91.8971, 234.091, -10.8122, 234.091, -130.812, 234.091, 109.188
17, 0.00000, 8134.09, -29.299, 8134.09, -149.299, 8134.09, 90.701, 100.745, 6.64798, 100.745, -113.352, 100.745, 126.648
18, 0.00000, 8119.78, -31.0684, 8119.78, -151.068, 8119.78, 88.9316, 143.031, 123.572, 143.031, 3.5721, 143.031, -116.428
19, 0.00000, 8098.56, -31.3308, 8098.56, -151.331, 8098.56, 88.6692, 178.566, 123.167, 178.566, 3.16718, 178.566, -116.833
20, 0.00000, 8098.55, -31.3309, 8098.55, -151.331, 8098.55, 88.6691, 178.57, 123.167, 178.57, 3.16702, 178.57, -116.833
21, 0.00000, 8098.55, -31.3309, 8098.55, -151.331, 8098.55, 88.6691, 178.57, 123.167, 178.57, 3.16702, 178.57, -116.833
22, 0.00000, 8098.55, -31.3309, 8098.55, -151.331, 8098.55, 88.6691, 178.57, 123.167, 178.57, 3.16702, 178.57, -116.833
23, 0.00000, 8098.55, -31.3309, 8098.55, -151.331, 8098.55, 88.6691, 178.57, 123.167, 178.57, 3.16702, 178.57, -116.833
24, 0.00000, 8098.55, -31.3309, 8098.55, -151.331, 8098.55, 88.6691, 178.57, 123.167, 178.57, 3.16702, 178.57, -116.833
